author,username,retweet_count,tweets,created_at,type
INDOMYBTS07,_jiminpark_1013,13,"RT @INDOMYBTS07: Congratulations BTS 🎉

Bangtan telah mendapatkan Record Of The Year dengan Butter di Variety Hitmakers 

* RM Seokjin Suga…",2021-12-06 02:59:02,retweeted
rahmdess27,jeylaivTK,22,RT @rahmdess27: Pagi-pagi sarapan cowok ganteng @BTS_twt 😱🙏🏻 https://t.co/cRvQ0ymOUM,2021-12-06 02:59:00,retweeted
applejinnie92,jimnsangeI,0,@applejinnie92 jdkandnndndnsnsjsnns is she a bts stan too😭,2021-12-06 02:58:56,replied_to
AREAJULID,vmletra95,3059,"RT @AREAJULID: [Urgent!!] bantuan darurat untuk warga terdampak erupsi gunung Semeru, ayo army indonesia bisa berdonasi melalui: https://t.…",2021-12-06 02:58:53,retweeted
,eunhact,0,Member terganteng di BTS XD,2021-12-06 02:58:52,
yyoongsmin,hakmiliksuga,0,@yyoongsmin @convomf @Bts_ungie @Prettylamonie @93SUGAGSTD @carrotpiupiu @beomnavx @joonieessss @_blueberryzz @dinjk_ @ksjmoon_04 @prkchimmm_ @peachyjjinn @ilvtaegii @ggukiesalyk @gvputtjjk @girlcrushjimin @jiminsshily @kiaamnie @pjmlvind @urnamoonie @jiminiezzl ilysm ahmaaa sayang💜😗,2021-12-06 02:58:50,replied_to
ARMYTEAMIID,yoonslyth,1038,"RT @ARMYTEAMIID: [📸]

JADWAL KHUSUS BTS |  Vogue Korea edisi Januari dengan BTS &amp; Louis Vuitton.

📎 :  https://t.co/lav8v7z8xH

#BTS #방탄소년단…",2021-12-06 02:58:48,retweeted
,Cookies_Kook_,2,"YAHHHHHHH JUNGKOOKAHH
GILAK PARAH, AMPUNNNN😭🙏
MBL MBL Mampus Banget Lohhhh😵
UNREAL BANGET NIH ORANG😌🔫 
#BTS #JUNGKOOK #VogueKorea 
@BTS_twt https://t.co/eFNkXQCG7R",2021-12-06 02:58:48,
,flowerykshop,0,"[PO] TOTEBAG KPOP (BTS, EXO, SUJU, SNSD)
IDR 70.000 Please contact us for more
details^^",2021-12-06 02:58:47,
taehsossro,ffy_24,0,"@taehsossro Bahagianya cuman di roman2 se ons wil 😭
Sama di bts balik layar 😂😹",2021-12-06 02:58:46,replied_to
cyphertetae,anra_ninetyfive,0,"@cyphertetae @beyourlov @ARMYTEAMIID @BTS_twt Mjb myy,ini tau darimana kalo penerbangannya dipisah krna ini?",2021-12-06 02:58:45,replied_to
armyfess_,taeebbyyy,0,@armyfess_ polbek dlu kali bestiee @BTS_twt,2021-12-06 02:58:44,replied_to
chizikook_,MinYeNa_,314,"RT @chizikook_: BTS balik dan akan mulai babak baru mereka di tahun 2022, sebagaimana yg di konfirmasi bighit. Jadi di tahun 2022 Bakalan a…",2021-12-06 03:59:54,retweeted
vantepb,glassvcut,0,@vantepb @BTS_twt KSBKCSBKDBSKDNSKSNS MIM PISA,2021-12-06 03:59:53,replied_to
hoopki,regularbangtan,224,"RT @hoopki: BEGIN - JUNGKOOK

[@BTS_twt #JK #btsfanart] https://t.co/sjkoMFascu",2021-12-06 03:59:51,retweeted
,amynouilles_kr,1,Sharing BTS SG 22 tinggal ini yaaah! Bisa langsung DM/WA link di bio buat take! 😇 https://t.co/tOlxt52rX7,2021-12-06 03:59:43,
,kimtae0701,0,Anak kesayangannya siapa coba ini @gungrin gantengnya ga bisa luntur @BTS_twt https://t.co/bs943CJs4G,2021-12-06 03:59:43,
,pjmkei_,0,"BTS istirahat panjang yg berarti tahun ini ga ada acara NYEL?? 😭🥲🥲 TAPI GPP, HAVE A NICE HOLIDAY BOYS 💜💜💜 @BTS_twt",2021-12-06 03:59:41,
bwloct,MinYeNa_,44,RT @bwloct: Rest well BTS. Hope you guys focus on enjoying every moment with your families. Siap menunggu kalian kembali dengan semangat ba…,2021-12-06 03:59:38,retweeted
Kookiejoelss,ggukarime_97,42,"RT @Kookiejoelss: SEOKJIN WEVERSE:

🐹 seokjin-ah bienvenido a corea

(@BTS_twt) cr. Miiniyoongs https://t.co/iTKLBlfZiK",2021-12-06 03:59:33,retweeted
JEONBAM_JK,chrdaayu,100,"RT @JEONBAM_JK: ""BTS akan fokus buat persiapan konser dan release album baru yang akan menandai awal dari 'new chapter'""

Yep, BTS udah ker…",2021-12-06 03:59:33,retweeted
convomf,coxobear,0,"@convomf gw nonton drakor atau ga konten"" bts/txt
klo yt jarang paling cuma nessie sama nadia omara",2021-12-06 03:59:30,replied_to
,ibighitfess,0,"/ibh/ 

bts kan liburan nih, kalian liburan nanti ada rencana apa? Kira-kira 2022 ada to-do X run bts ga ya",2021-12-06 03:59:30,
jjkbxrry,3095Alessa,4,"RT @jjkbxrry: Kim Seokjin — Weverse 🐹

✎ Seokjin-ah, bienvenido a Corea.

#방탄소년단진 #김석진 #석진 
#BTSJIN #JIN @BTS_twt https://t.co/Ndco8Bdha9",2021-12-06 03:59:26,retweeted
miniminisoul,ggukarime_97,218,"RT @miniminisoul: Jin Weverse.
@BTS_twt 

-Seokjin-ah bienvenido a korea.

@/haruharu_w_bts https://t.co/FuRa7h1Jx6",2021-12-06 03:59:26,retweeted
BTS_twt,sereinairy,0,"@BTS_twt maaf ya aku ngecewain kamu, aku selalu ngecewain org org terus",2021-12-06 03:59:25,replied_to
,icewhitecoffe,0,"Ganteng2 bett dah, gilaa dagunya jimin bikin aku jadi mo meninggoy. 😍😘😍😘
#bts #BTSXVogueKorea https://t.co/ZIxjoseXWo",2021-12-06 03:59:22,
namjunwife_,Dark09light1,0,@namjunwife_ @BTS_twt Mantap😁👍👍👍❤,2021-12-06 03:59:21,replied_to
BTS_twt,BONBONIEBANG,0,"@BTS_twt Hidup ini penuh drama, luka dan duka, tapi kesalnya harus dijalanin aja, kayak hidup enggan mati tak mau😂",2021-12-06 03:59:15,replied_to
JEONBAM_JK,OT7BTSIS7,1047,"RT @JEONBAM_JK: Kalau bella poarch yang SUPER SIBUK di REAL LIFE dia bisa sempetin waktu vote BTS, army harusnya lebih gencer vote nya dong…",2021-12-06 03:59:14,retweeted
bwloct,bono2yaa,510,"RT @bwloct: Respon kpopies, western bikin ngakak ttg vacation bts,
""We won, finally we free from BTS""

Holiday woi, libur. Mereka lupa kalo…",2021-12-06 03:59:13,retweeted
