author,username,retweet_count,tweets,created_at,type
,james1806,0,"Merayakan Hari Guru Nasional dan HUT Ke-76 PGRI...
Selamat kepada para juara 👍
#hutpgri76 #harigurunasional #pgri #pgrijawatimur #pgrislccjawatimur #smartlearning #guruprima #pgrismartlearningcenter https://t.co/RTeDJsxhWe",2021-12-06 02:44:12,
,Gorajuara,0,"Jadi Juara Satu Lomba Karya Tulis Dewi Sartika, Dede Sisca Apriliani Sebut Pencapaian Luar Biasa https://t.co/R2KnW1xQIo 
#juara #pencapaianluarbiasa",2021-12-06 02:43:55,
bhulukhuduktv,harorochubby,30,"RT @bhulukhuduktv: Berikut prediksi ranking Versi Team #BhulukhudukTV 

Mixed Doubles

Setelah Berhasil Hattrick Juara di Indonesia Badmint…",2021-12-06 02:43:39,retweeted
,patbingzu,0,kalo lu ngasih hadiah dr kantong sendiri iye temuan di BPK. LAH KEMENPORA EMG HARUSNYA NGASIH BONUS YANG JUARA/MEDALI MAJOR EVENT KAN,2021-12-06 02:43:32,
Caehryun,jonghnan,0,"@Caehryun Udah dong, adem banget suaranya emang juara.",2021-12-06 02:43:27,replied_to
aviciiena,noturtheonlyone,33,RT @aviciiena: @convomf Cancer kalo soal caring juara deh,2021-12-06 02:43:17,retweeted
idextratime,amndgytr18,19,RT @idextratime: Salah satu musim F1 paling gila yang penuh drama. Race terakhir jadi penentu juara. 🤯,2021-12-06 02:43:14,retweeted
Cb,sparklee_77,1,"Cb klo dipikir2 hadiahnya Chae as juara 1 tuh apa? Lu liat sndr ajang pencarian bakat, juara 1 nya pada dpt mobil/duit/promosi dll. Jd bkn masalah dia cocok/ga cocok jd center ya karena pendapatan masing2 beda.",2021-12-06 02:42:40,replied_to
fnzhfrn,hvagoodayy,0,"@fnzhfrn @itsgirlsy sampe mereka bilang ""maaf belum bisa kasih juara""
damn.💔",2021-12-06 02:42:24,replied_to
MafiaWasit,Bewe_09,0,@MafiaWasit Milan is Blue and Black sek juara tetepan,2021-12-06 02:42:15,replied_to
