author,username,retweet_count,tweets,created_at,type
Dana,MunawirSamosir,0,"Dana APBD Mengendap, Menkeu: Masa Beasiswa Aja tidak Dibayar. Dana 12T Yang Dikucurkan Pemerintah Indonesia Untuk Beasiswa Pendidikan Putra Putri Papua Belum Disalurkan Oleh Pemda Papua
https://t.co/7olCwB1Csb Disiplin Protokol Kesehatan",2021-12-06 02:59:03,replied_to
,DaffaFauzan8,0,jika perang Indonesia VS Israel Terjadi Apa Yg anda Lakukan,2021-12-06 02:59:02,
,MilaSuebu,0,"tuh kan udah jelas pak jokowi udah menjamin investasi di indonesia aman

Disiplin Protokol Kesehatan https://t.co/ju9vih8nyU",2021-12-06 02:59:02,
Sri,MunawirSamosir,0,"Sri Mulyani Kecewa Rp 12 Triliun APBD Papua Mengendap di Bank, Beasiswa Pelajar Tak Terbayar. Dana 12T Yang Dikucurkan Pemerintah Indonesia Untuk Beasiswa Pendidikan Putra Putri Papua Belum Disalurkan Oleh Pemda Papua
https://t.co/3s8hugaAkZ Disiplin Protokol Kesehatan",2021-12-06 02:59:02,replied_to
,MunawirSamosir,0,"Sri Mulyani Singgung Macetnya Dana Beasiswa Mahasiswa Papua di AS. Dana 12T Yang Dikucurkan Pemerintah Indonesia Untuk Beasiswa Pendidikan Putra Putri Papua Belum Disalurkan Oleh Pemda Papua
https://t.co/j7wajSUqUU. Disiplin Protokol Kesehatan",2021-12-06 02:59:02,
,diki_hr,0,"I'm at Dinas Pendidikan Kota Bandung in Bandung, Indonesia https://t.co/Y7HRUGER2P",2021-12-06 02:59:01,
bibirpecapeca,luthfia_mh,202,"RT @bibirpecapeca: @tubirfess Indonesia tanpa pacaran sesungguhnya adalah gerakan blind date, yg sesama anggotanya pacaran diem2",2021-12-06 02:58:59,retweeted
detikcom,aulljoo,70,RT @detikcom: Persatuan Angkat Besi Seluruh Indonesia (PB PABSI) ikut bicara soal polemik bonus Tim Thomas Indonesia. Tidak seharusnya atle…,2021-12-06 02:58:59,retweeted
,BUMN_JKT_Ramah,0,"Hallo #SobatRimba!
Setiap tanggal 28 November, diperingati sebagai Hari Menanam Pohon Indonesia (HMPI) yang dimaksudkan untuk memberikan kesadaran dan kepedulian kepada masyarakat tentang kelestarian lingkungan melalui penanaman pohon.

#PerhutaniTerusHijaukanNegeri https://t.co/YBQaEcrn0c",2021-12-06 02:58:57,
,M3juahjuah,1,"G20 Indonesia 2022

Ekonomi harus memuliakan alam, manusia dan budaya
.
.
.
Ttd Presiden Jokowi https://t.co/z9ht86h5ia",2021-12-06 02:58:57,
lokaIantheboyz,juyricjaebom,24,"RT @lokaIantheboyz: [📱] THE BOYZ 4TH ANNIVERSARY INSTAGRAM ADS

Lokasi: Indonesia
Tanggal: 5-7 Desember 2021

📌 Ada hadiah 50k untuk yang r…",2021-12-06 02:58:57,retweeted
,bringas3006,1,"Warga Semeru yg terdampak Erupsi diberi Dana Tunggu 
Rp 500K selama 6 bulan  sambil menunggu Perbaikan Rumah

Kepala BNPB
@BNPB_Indonesia
@jokowi Peduli Bencana https://t.co/sLuYOZ5mjs",2021-12-06 02:58:55,
,PemudaP38049238,0,"Indonesia aman investasi nyaman
#DisiplinProtokolKesehatan https://t.co/TTNNr0eknT",2021-12-06 02:58:53,
AREAJULID,vmletra95,3059,"RT @AREAJULID: [Urgent!!] bantuan darurat untuk warga terdampak erupsi gunung Semeru, ayo army indonesia bisa berdonasi melalui: https://t.…",2021-12-06 02:58:53,retweeted
bank_indonesia,Rudike5,15,"RT @bank_indonesia: Sebagai negara berpenduduk Muslim terbesar, Indonesia dapat menjadi pusat #EKSyar dunia. Untuk mewujudkannya, BI memili…",2021-12-06 02:58:52,retweeted
,YK_JKT_SANTUN,0,"Sobat BUMN, Ayok menonton langsung Mandalika World Superbike di Lombok dengan paket lengkap dan terbaik dari Garuda Indonesia mulai dari 6,9 jutaan bisa mendapatkan tiket nonton dan penginapan 3 hari 2 malam atau 4 hari 3 malam. Jangan sampai terlewat!

#GarudaWSBK2021 https://t.co/pUTGsAAzra",2021-12-06 02:58:51,
Pancasila_Oke,utuhmenanti1,20,"RT @Pancasila_Oke: Luar biasa kinerja Srikandi yg dimiliki pak Jokowi ini

Saya  sebagai seorang difabel berharap  kaum difabel seluruh Ind…",2021-12-06 02:58:49,retweeted
bank_indonesia,Rudike5,19,"RT @bank_indonesia: Presidensi G20 Indonesia memiliki visi #PulihBersama dari pandemi, salah satunya melalui perekonomian yang kuat, tanggu…",2021-12-06 02:58:49,retweeted
InSrikandi_____,didienAZHAR,70,"RT @InSrikandi_____: INDONESIA ADA TAPI GAK BERDAULAT 
Itu sama saja dengan Indonesia musnah. 

Ormas Lembaga Merah Putih (LMP) dilarang ki…",2021-12-06 02:58:47,retweeted
bank_indonesia,HarirahmaIzzah,8,"RT @bank_indonesia: Presidensi G20 Indonesia pada 'finance track' yang diwakili Bank Indonesia &amp; Kemenkeu ini, akan #BeriMakna membahas isu…",2021-12-06 02:58:44,retweeted
,namba2coid,0,paket seminar kit promosi efektif souvenir kementerian resmi unik meeting rapat raker handmade indonesia https://t.co/H9Yq1fAVoE,2021-12-06 02:58:44,
,MilaSuebu,0,"semua investasi di indonesia aman

Disiplin Protokol Kesehatan https://t.co/jQ39fOVvdR",2021-12-06 02:58:41,
,PolsekCikSel,0,"Polri Dirikan Posko Kesehatan Dan Dapur Umum Untuk Korban Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (POLRI), menerjunkan Tim Kedokteran dan Kesehatan (Dokkes) Polri untuk memberikan pertolongan terhadap masyarakat terdampak erupsi Gunung Semeru https://t.co/4OHrwjPf5D",2021-12-06 02:58:41,
,helmasyauta,0,"Capjay sederharna,,kusukaaa @ Semarang, Indonesia https://t.co/Ykpo2ghriP",2021-12-06 02:58:40,
bank_indonesia,Rudike5,12,"RT @bank_indonesia: Gerakan Nasional Buatan Indonesia atau #GernasBBI, turut #BeriMakna pada UMKM bangsa. 

Terlebih, kini ada #QRIS yg pen…",2021-12-06 02:58:39,retweeted
baecotz,romanthic___,13,"RT @baecotz: Y'all stop defending this banci joget di cafe and normalize kalo cafe umum bisa buat ngapain aja. We lived in Indonesia lmao,…",2021-12-06 02:58:39,retweeted
RestuPa71830152,Vita_HarunP,18,"RT @RestuPa71830152: PREDATOR ANAK JALANAN.

Namanya cukup terkenal saat itu. warga pulo gadung gak asing dengan salah satu predator jalana…",2021-12-06 02:58:35,retweeted
ciroooo17,Masdjodi1,4,"RT @ciroooo17: Hahah, akun Indonesia Tanpa Pacaran diserang pecinta empati.
Dachlah, buat semua orang mending stop aja dakwah online.
Akun2…",2021-12-06 02:58:32,retweeted
"""Hanya",sejutaluka,0,"""Hanya ada tiga polisi jujur di Indonesia: patung polisi, polisi tidur dan Hoegeng"", demikian guyon Gus Dur. Nah di ipusnas ada novel tentang sosok polisi jujur, Halaman Terakhir sebuah novel tentang Jenderal Polisi Hoegeng, stoknya melimpah. https://t.co/sa9ln1uea0",2021-12-06 02:58:32,replied_to
