author,username,retweet_count,tweets,created_at,type
,Oudellia93_,0,"2/6 of my favs badminton athletes are WDN from BWC

kalo yang lain mau wdn juga gpp, aku tau kalian yang lebih tau kondisi kesehatan kalian, whatever you chose, i’ll always support you ❤️❤️❤️ https://t.co/dLNcMskQon",2021-12-06 02:24:11,
,morephinee,0,"meskipun hari ini judulnya badminton angst, tp tetep harus happykiyowo https://t.co/qcsa8D3mZV",2021-12-06 02:24:10,
AREAJULID,Y0Y0Patrick,0,@AREAJULID KONTOL LU GUA PECAHIN PAKE RAKET BADMINTON,2021-12-06 02:24:09,replied_to
detikcom,ahhjii30,0,@detikcom Blm aja dia ngerasain apa yg atlet badminton rasainn😏,2021-12-06 02:22:38,replied_to
,junekyst,0,lagian aneh banget juga yang wawancara kenapa jauh banget ke cabor lain yang gak ada hubungannya sama badminton???,2021-12-06 02:22:32,
,Kynalive,0,"Ga punya hubungan sm sekali sama badminton mending diem. 
Malah opini lo di ketawain sm netizen",2021-12-06 02:19:35,
Apalagi,badutminton,0,"Apalagi ini badminton, olahraga yang hampir tiap tahun nyumbang medali Olimpiade, olahraga nasional yang bikin Indonesia terpandang di level dunia. Kalo olahraga lain aja dikasih bonus, masa atlet badmin ga berhak minta bonus? Udah banyak banget jasanya buat negara lho.",2021-12-06 02:19:15,replied_to
addien90s,FatiyahNn,46,"RT @addien90s: Any women yang pro main badminton (cap ayam taknak), suka baca buku, bijak, matang, berperwatakan menarik dan multi talented…",2021-12-06 02:18:54,retweeted
,bdmntnfans,4,"Yah emang badminton pantes ajg buat dapet apresiasi lebih! Emosi bgt gua, nunggu berita apa yang dateng apaan!!",2021-12-06 02:18:34,
,dynaoomite,0,karena bangtan jg cuti dan mau liburan sama keluarganya keknya mereka ga bakal tampil di acara awards akhir tahun😖 jd w bakal lebih fokus ngedrakor dan nonton badminton dah keknya😪😬,2021-12-06 02:17:48,
,alohaaaw,0,SONO PABSI NGOMONG AMA TEMBOK JINKK BLG AJA LU IRI KAN KL BADMINTON DKSH BONUS KRN BANYAK PRESTASI 😘😘😘 MGKNY UKIR PRESTASI YG BANYAK DONK BIAR DKSH BONUZZZ HIHIHI,2021-12-06 02:17:16,
addien90s,skwwomx,3,RT @addien90s: Ada pesta buku rupanya tapi tulah kena pilih dengan badminton... 🥲,2021-12-06 02:15:26,retweeted
AmbarBaw,moiordinarylyfe,0,"@AmbarBaw @diiyyuull Maksud reply mba @diiyyuull di atas itu, yang beneran suka badminton makin kesini semakin respect dengan lawan. Tidak seperti audiences di Bali ini.

Coba baca pelan-pelan ya🙂",2021-12-06 02:14:36,replied_to
ASTROARENA,_xunqi94,40,"RT @ASTROARENA: Inilah reaksi pemain badminton negara kita 🏸🇲🇾, ada yang tak puas hati dengan performance sendiri, ada yang dah bagi all ou…",2021-12-06 02:13:41,retweeted
